filename,width,height,class,xmin,ymin,xmax,ymax
889c420fb266b8d0e817306110042bda_jpg.rf.02d22a79820be51228296021ad0b6bbb.jpg,2048,1372,white-rook,839,260,958,435
889c420fb266b8d0e817306110042bda_jpg.rf.02d22a79820be51228296021ad0b6bbb.jpg,2048,1372,white-king,645,426,795,702
889c420fb266b8d0e817306110042bda_jpg.rf.02d22a79820be51228296021ad0b6bbb.jpg,2048,1372,white-pawn,820,391,928,542
889c420fb266b8d0e817306110042bda_jpg.rf.02d22a79820be51228296021ad0b6bbb.jpg,2048,1372,white-pawn,671,172,779,321
889c420fb266b8d0e817306110042bda_jpg.rf.02d22a79820be51228296021ad0b6bbb.jpg,2048,1372,white-pawn,499,50,603,194
889c420fb266b8d0e817306110042bda_jpg.rf.02d22a79820be51228296021ad0b6bbb.jpg,2048,1372,white-pawn,462,845,582,1002
889c420fb266b8d0e817306110042bda_jpg.rf.02d22a79820be51228296021ad0b6bbb.jpg,2048,1372,black-king,1263,882,1429,1167
889c420fb266b8d0e817306110042bda_jpg.rf.02d22a79820be51228296021ad0b6bbb.jpg,2048,1372,black-rook,1651,980,1811,1170
889c420fb266b8d0e817306110042bda_jpg.rf.02d22a79820be51228296021ad0b6bbb.jpg,2048,1372,black-queen,1151,321,1281,570
889c420fb266b8d0e817306110042bda_jpg.rf.02d22a79820be51228296021ad0b6bbb.jpg,2048,1372,black-pawn,1342,277,1430,422
889c420fb266b8d0e817306110042bda_jpg.rf.02d22a79820be51228296021ad0b6bbb.jpg,2048,1372,black-pawn,1005,390,1099,534
889c420fb266b8d0e817306110042bda_jpg.rf.02d22a79820be51228296021ad0b6bbb.jpg,2048,1372,black-pawn,1221,674,1329,827
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,white-pawn,519,169,602,294
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,black-pawn,1355,404,1442,539
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,black-king,1507,267,1652,547
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,black-pawn,1005,294,1091,417
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,white-pawn,497,67,606,208
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,black-pawn,1128,174,1226,307
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,black-bishop,1450,133,1562,307
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,white-queen,493,201,636,376
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,white-pawn,498,369,614,538
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,black-pawn,1301,71,1387,193
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,white-pawn,802,268,894,413
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,white-king,257,437,400,683
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,white-bishop,318,125,451,329
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,black-knight,990,383,1116,556
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,white-rook,327,41,461,241
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,white-pawn,830,688,951,839
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,black-knight,1170,358,1290,549
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,black-queen,1379,478,1526,690
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,black-pawn,1066,828,1183,972
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,white-pawn,458,841,562,983
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,black-rook,1421,50,1528,185
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,black-pawn,1173,666,1282,824
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,black-rook,1665,969,1812,1165
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,white-bishop,206,806,349,999
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,black-knight,1584,656,1748,825
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,white-knight,249,645,394,845
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,white-knight,652,351,776,544
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,white-pawn,472,499,598,672
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,black-pawn,1027,545,1138,697
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,white-pawn,838,989,965,1151
49c2afbbe5726160b289f7c0c62cdace_jpg.rf.018249b80783dd42d0d23496d4830902.jpg,2048,1372,white-rook,644,970,785,1167
